time,x,y,u,v,phase,toe_x,toe_y,energy
0.123000,0.541483,0.975792,4.402300,-1.206630,0,0.958508,0.066897,19.990623
0.124000,0.545885,0.974581,4.402300,-1.216440,0,0.962911,0.065686,19.990623
0.125000,0.550288,0.973359,4.402300,-1.226250,0,0.967313,0.064465,19.990623
0.126000,0.554690,0.972128,4.402300,-1.236060,0,0.971715,0.063233,19.990623
0.127000,0.559092,0.970887,4.402300,-1.245870,0,0.976117,0.061992,19.990623
0.128000,0.563494,0.969636,4.402300,-1.255680,0,0.980520,0.060742,19.990623
0.129000,0.567897,0.968376,4.402300,-1.265490,0,0.984922,0.059481,19.990623
0.130000,0.572299,0.967105,4.402300,-1.275300,0,0.989324,0.058211,19.990623
0.131000,0.576701,0.965825,4.402300,-1.285110,0,0.993727,0.056930,19.990623
0.132000,0.581104,0.964535,4.402300,-1.294920,0,0.998129,0.055640,19.990623
0.133000,0.585506,0.963235,4.402300,-1.304730,0,1.002531,0.054341,19.990623
0.134000,0.589908,0.961926,4.402300,-1.314540,0,1.006934,0.053031,19.990623
0.135000,0.594311,0.960606,4.402300,-1.324350,0,1.011336,0.051712,19.990623
0.136000,0.598713,0.959277,4.402300,-1.334160,0,1.015738,0.050382,19.990623
0.137000,0.603115,0.957938,4.402300,-1.343970,0,1.020140,0.049043,19.990623
0.138000,0.607517,0.956589,4.402300,-1.353780,0,1.024543,0.047694,19.990623
0.139000,0.611920,0.955230,4.402300,-1.363590,0,1.028945,0.046336,19.990623
0.140000,0.616322,0.953862,4.402300,-1.373400,0,1.033347,0.044967,19.990623
0.141000,0.620724,0.952484,4.402300,-1.383210,0,1.037750,0.043589,19.990623
0.142000,0.625127,0.951096,4.402300,-1.393020,0,1.042152,0.042201,19.990623
0.143000,0.629529,0.949698,4.402300,-1.402830,0,1.046554,0.040803,19.990623
0.144000,0.633931,0.948290,4.402300,-1.412640,0,1.050957,0.039395,19.990623
0.145000,0.638334,0.946872,4.402300,-1.422450,0,1.055359,0.037978,19.990623
0.146000,0.642736,0.945445,4.402300,-1.432260,0,1.059761,0.036550,19.990623
0.147000,0.647138,0.944008,4.402300,-1.442070,0,1.064163,0.035113,19.990623
0.148000,0.651540,0.942561,4.402300,-1.451880,0,1.068566,0.033666,19.990623
0.149000,0.655943,0.941104,4.402300,-1.461690,0,1.072968,0.032209,19.990623
0.150000,0.660345,0.939637,4.402300,-1.471500,0,1.077370,0.030743,19.990623
0.151000,0.664747,0.938161,4.402300,-1.481310,0,1.081773,0.029266,19.990623
0.152000,0.669150,0.936675,4.402300,-1.491120,0,1.086175,0.027780,19.990623
0.153000,0.673552,0.935179,4.402300,-1.500930,0,1.090577,0.026284,19.990623
0.154000,0.677954,0.933673,4.402300,-1.510740,0,1.094980,0.024778,19.990623
0.155000,0.682357,0.932157,4.402300,-1.520550,0,1.099382,0.023263,19.990623
0.156000,0.686759,0.930632,4.402300,-1.530360,0,1.103784,0.021737,19.990623
0.157000,0.691161,0.929097,4.402300,-1.540170,0,1.108186,0.020202,19.990623
0.158000,0.695563,0.927552,4.402300,-1.549980,0,1.112589,0.018657,19.990623
0.159000,0.699966,0.925997,4.402300,-1.559790,0,1.116991,0.017102,19.990623
0.160000,0.704368,0.924432,4.402300,-1.569600,0,1.121393,0.015537,19.990623
0.161000,0.708770,0.922857,4.402300,-1.579410,0,1.125796,0.013963,19.990623
0.162000,0.713173,0.921273,4.402300,-1.589220,0,1.130198,0.012378,19.990623
0.163000,0.717575,0.919679,4.402300,-1.599030,0,1.134600,0.010784,19.990623
0.164000,0.721977,0.918075,4.402300,-1.608840,0,1.139003,0.009180,19.990623
0.165000,0.726379,0.916461,4.402300,-1.618650,0,1.143405,0.007567,19.990623
0.166000,0.730782,0.914838,4.402300,-1.628460,0,1.147807,0.005943,19.990623
0.167000,0.735184,0.913204,4.402300,-1.638270,0,1.152209,0.004310,19.990623
0.168000,0.739586,0.911561,4.402300,-1.648080,0,1.156612,0.002666,19.990623
0.169000,0.743989,0.909908,4.402300,-1.657890,0,1.161014,0.001013,19.990623
0.170000,0.748391,0.908245,4.402300,-1.667700,1,1.165118,0.000000,19.990674
0.171000,0.752793,0.906573,4.402102,-1.677075,1,1.165118,0.000000,19.990674
0.172000,0.757195,0.904892,4.401628,-1.685839,1,1.165118,0.000000,19.990674
0.173000,0.761596,0.903202,4.400885,-1.693992,1,1.165118,0.000000,19.990674
0.174000,0.765997,0.901504,4.399875,-1.701531,1,1.165118,0.000000,19.990674
0.175000,0.770396,0.899799,4.398604,-1.708456,1,1.165118,0.000000,19.990674
0.176000,0.774794,0.898087,4.397075,-1.714766,1,1.165118,0.000000,19.990674
0.177000,0.779190,0.896369,4.395295,-1.720460,1,1.165118,0.000000,19.990674
0.178000,0.783584,0.894646,4.393268,-1.725539,1,1.165118,0.000000,19.990674
0.179000,0.787977,0.892919,4.390998,-1.730000,1,1.165118,0.000000,19.990674
0.180000,0.792366,0.891187,4.388491,-1.733846,1,1.165118,0.000000,19.990674
0.181000,0.796753,0.889451,4.385752,-1.737074,1,1.165118,0.000000,19.990674
0.182000,0.801138,0.887713,4.382786,-1.739686,1,1.165118,0.000000,19.990674
0.183000,0.805519,0.885972,4.379598,-1.741681,1,1.165118,0.000000,19.990674
0.184000,0.809897,0.884229,4.376194,-1.743060,1,1.165118,0.000000,19.990674
0.185000,0.814271,0.882486,4.372579,-1.743824,1,1.165118,0.000000,19.990674
0.186000,0.818642,0.880742,4.368759,-1.743973,1,1.165118,0.000000,19.990674
0.187000,0.823009,0.878998,4.364738,-1.743509,1,1.165118,0.000000,19.990674
0.188000,0.827371,0.877255,4.360524,-1.742431,1,1.165118,0.000000,19.990674
0.189000,0.831730,0.875514,4.356121,-1.740741,1,1.165118,0.000000,19.990674
0.190000,0.836084,0.873774,4.351536,-1.738442,1,1.165118,0.000000,19.990674
0.191000,0.840433,0.872037,4.346773,-1.735533,1,1.165118,0.000000,19.990674
0.192000,0.844777,0.870303,4.341840,-1.732017,1,1.165118,0.000000,19.990674
0.193000,0.849116,0.868573,4.336742,-1.727896,1,1.165118,0.000000,19.990674
0.194000,0.853450,0.866847,4.331486,-1.723172,1,1.165118,0.000000,19.990674
